03:01.190	03:02.190	03:00.380	03:00.720	03:01.370
03:08.500	03:08.840	03:06.230	03:08.170	03:08.805
03:08.600	03:08.870	03:06.280	03:08.240	03:08.885
03:08.630	03:08.980	03:06.300	03:08.260	03:08.980
03:08.670	03:09.100	03:06.320	03:08.420	03:09.050
03:08.680	03:09.160	03:06.370	03:08.450	03:09.070
03:08.890	03:09.230	03:06.480	03:08.470	03:09.155
03:08.950	03:09.250	03:06.510	03:08.510	03:09.195
03:08.970	03:09.360	03:06.580	03:08.520	03:09.260
03:09.340	03:09.450	03:06.610	03:08.530	03:09.390
03:09.520	03:09.460	03:06.680	03:08.720	03:09.445
03:09.640	03:09.560	03:06.720	03:08.720	03:09.555
03:09.660	03:09.560	03:06.880	03:08.890	03:09.560
03:09.670	03:09.670	03:06.930	03:08.930	03:09.640
03:09.790	03:09.860	03:07.090	03:08.930	03:09.675
03:09.790	03:09.890	03:07.190	03:09.000	03:09.785
03:09.870	03:09.900	03:07.210	03:09.040	03:09.850
03:09.890	03:09.980	03:07.250	03:09.190	03:09.905
03:10.020	03:10.370	03:07.290	03:09.200	03:09.975
03:10.030	03:10.420	03:07.360	03:09.250	03:10.010
03:10.170	03:10.530	03:07.360	03:09.280	03:10.080
03:10.210	03:10.580	03:07.400	03:09.390	03:10.090
03:10.280	03:10.580	03:07.420	03:09.440	03:10.140
03:10.450	03:10.660	03:07.440	03:09.580	03:10.200
03:10.480	03:10.680	03:07.470	03:10.180	03:10.270
03:10.650	03:10.960	03:07.470	03:10.200	03:10.370
03:10.660	03:10.970	03:07.490	03:10.220	03:10.390
03:10.680	03:11.030	03:07.510	03:10.230	03:10.430
03:10.750	03:11.070	03:07.510	03:10.250	03:10.545
03:10.860	03:11.160	03:07.630	03:10.310	03:10.595
03:10.890	03:11.190	03:07.640	03:10.370	03:10.640
03:10.920	03:11.240	03:07.640	03:10.380	03:10.700
03:10.930	03:11.270	03:07.660	03:10.400	03:10.785
03:11.060	03:11.280	03:07.670	03:10.450	03:10.815
03:11.170	03:11.310	03:07.680	03:10.480	03:10.940
03:11.240	03:11.310	03:07.780	03:10.490	03:10.985
03:11.280	03:11.460	03:07.810	03:10.530	03:11.005
03:11.330	03:11.570	03:07.830	03:10.530	03:11.110
03:11.340	03:11.630	03:07.950	03:10.590	03:11.160
03:11.370	03:11.640	03:07.950	03:10.610	03:11.195
03:11.370	03:11.690	03:07.970	03:10.730	03:11.220
03:11.400	03:11.710	03:08.000	03:10.790	03:11.265
03:11.400	03:11.860	03:08.030	03:10.810	03:11.300
03:11.470	03:11.870	03:08.060	03:10.830	03:11.355
03:11.480	03:11.870	03:08.130	03:11.030	03:11.395
03:11.590	03:11.900	03:08.130	03:11.050	03:11.455
03:11.600	03:11.910	03:08.430	03:11.060	03:11.475
03:11.680	03:11.920	03:08.460	03:11.090	03:11.540
03:11.700	03:11.920	03:08.460	03:11.130	03:11.555
03:11.920	03:11.940	03:08.490	03:11.210	03:11.690
03:11.920	03:12.030	03:08.490	03:11.250	03:11.690
03:12.070	03:12.070	03:08.550	03:11.310	03:11.780
03:12.200	03:12.130	03:08.580	03:11.320	03:11.855
03:12.310	03:12.260	03:08.580	03:11.330	03:11.925
03:12.370	03:12.260	03:08.590	03:11.350	03:11.925
03:12.380	03:12.270	03:08.610	03:11.420	03:11.950
03:12.480	03:12.280	03:08.660	03:11.510	03:11.970
03:12.480	03:12.300	03:08.740	03:11.550	03:12.070
03:12.490	03:12.310	03:08.740	03:11.620	03:12.135
03:12.540	03:12.320	03:08.750	03:11.640	03:12.165
03:12.550	03:12.340	03:08.820	03:11.700	03:12.200
03:12.600	03:12.350	03:08.840	03:11.730	03:12.345
03:12.630	03:12.360	03:08.890	03:11.880	03:12.355
